# go-pptx PERF-01 raw benchmark log
# timestamp: 2026-09-12T00:14:59Z
# go-version: go version go1.27.0 windows/amd64
# count: 10
# benchtime: default
# timeout: 30m
# bench: BenchmarkPerf
goos: windows
goarch: amd64
pkg: github.com/F31/go-pptx
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkPerfSaveDisk/100p-media-24   	      20	  69330435 ns/op	 512.71 MB/s	  35546299 pkg-bytes	88786610 B/op	    8112 allocs/op
BenchmarkPerfSaveDisk/100p-media-24   	      21	  66788262 ns/op	 532.22 MB/s	  35546299 pkg-bytes	88727233 B/op	    8110 allocs/op
BenchmarkPerfSaveDisk/100p-media-24   	      20	 126922685 ns/op	 280.06 MB/s	  35546299 pkg-bytes	88913909 B/op	    8117 allocs/op
BenchmarkPerfSaveDisk/100p-media-24   	       8	 147206188 ns/op	 241.47 MB/s	  35546299 pkg-bytes	88886563 B/op	    8114 allocs/op
BenchmarkPerfSaveDisk/100p-media-24   	       8	 143190900 ns/op	 248.24 MB/s	  35546299 pkg-bytes	88897735 B/op	    8116 allocs/op
BenchmarkPerfSaveDisk/100p-media-24   	       7	 148674443 ns/op	 239.09 MB/s	  35546299 pkg-bytes	89115707 B/op	    8122 allocs/op
BenchmarkPerfSaveDisk/100p-media-24   	       7	 152387700 ns/op	 233.26 MB/s	  35546299 pkg-bytes	88936434 B/op	    8115 allocs/op
BenchmarkPerfSaveDisk/100p-media-24   	       7	 144873200 ns/op	 245.36 MB/s	  35546299 pkg-bytes	88955574 B/op	    8118 allocs/op
BenchmarkPerfSaveDisk/100p-media-24   	       8	 147350938 ns/op	 241.24 MB/s	  35546299 pkg-bytes	88757647 B/op	    8113 allocs/op
BenchmarkPerfPeakHeap/10p-text-24     	     147	   7330122 ns/op	   1.97 MB/s	   1943920 peak-heap-B	     14464 pkg-bytes	  884237 B/op	    7374 allocs/op
BenchmarkPerfPeakHeap/10p-text-24     	     180	   8086336 ns/op	   1.79 MB/s	   1940344 peak-heap-B	     14464 pkg-bytes	  890016 B/op	    7375 allocs/op
BenchmarkPerfPeakHeap/10p-text-24     	     175	   7758087 ns/op	   1.86 MB/s	   1944464 peak-heap-B	     14464 pkg-bytes	  884035 B/op	    7375 allocs/op
BenchmarkPerfPeakHeap/10p-text-24     	     170	   7853125 ns/op	   1.84 MB/s	   1951904 peak-heap-B	     14464 pkg-bytes	  883707 B/op	    7374 allocs/op
BenchmarkPerfPeakHeap/10p-text-24     	     171	   7812050 ns/op	   1.85 MB/s	   1951904 peak-heap-B	     14464 pkg-bytes	  883926 B/op	    7374 allocs/op
BenchmarkPerfPeakHeap/10p-text-24     	     171	   7706539 ns/op	   1.88 MB/s	   1944704 peak-heap-B	     14464 pkg-bytes	  883713 B/op	    7375 allocs/op
BenchmarkPerfPeakHeap/10p-text-24     	     171	   7322908 ns/op	   1.98 MB/s	   1992776 peak-heap-B	     14464 pkg-bytes	  889699 B/op	    7374 allocs/op
BenchmarkPerfPeakHeap/10p-text-24     	     171	   7238944 ns/op	   2.00 MB/s	   1951904 peak-heap-B	     14464 pkg-bytes	  883677 B/op	    7374 allocs/op
BenchmarkPerfPeakHeap/10p-text-24     	     160	   7399838 ns/op	   1.95 MB/s	    879016 peak-heap-B	     14464 pkg-bytes	  876552 B/op	    7374 allocs/op
BenchmarkPerfPeakHeap/10p-text-24     	     139	   7398852 ns/op	   1.95 MB/s	   1952080 peak-heap-B	     14464 pkg-bytes	  900492 B/op	    7374 allocs/op
BenchmarkPerfPeakHeap/50p-image-24    	      39	  36634092 ns/op	   1.67 MB/s	   9885672 peak-heap-B	     61356 pkg-bytes	 8899324 B/op	   74671 allocs/op
BenchmarkPerfPeakHeap/50p-image-24    	      31	  35338139 ns/op	   1.74 MB/s	  10962832 peak-heap-B	     61356 pkg-bytes	 8959947 B/op	   74672 allocs/op
BenchmarkPerfPeakHeap/50p-image-24    	      30	  37392203 ns/op	   1.64 MB/s	   9849880 peak-heap-B	     61356 pkg-bytes	 8892807 B/op	   74670 allocs/op
BenchmarkPerfPeakHeap/50p-image-24    	      44	  36463182 ns/op	   1.68 MB/s	  10906840 peak-heap-B	     61356 pkg-bytes	 8955384 B/op	   74670 allocs/op
BenchmarkPerfPeakHeap/50p-image-24    	      40	  37667048 ns/op	   1.63 MB/s	   9876104 peak-heap-B	     61356 pkg-bytes	 8917506 B/op	   74670 allocs/op
BenchmarkPerfPeakHeap/50p-image-24    	      31	  38048865 ns/op	   1.61 MB/s	   8812248 peak-heap-B	     61356 pkg-bytes	 8822495 B/op	   74669 allocs/op
BenchmarkPerfPeakHeap/50p-image-24    	      30	  38294273 ns/op	   1.60 MB/s	  11056600 peak-heap-B	     61356 pkg-bytes	 8969112 B/op	   74672 allocs/op
